District,Region,Area,outletname,OUTLET TYPE,VC,longitude,latitude,vf
MOUNT LEBANON,ALEY,KAHHALEH,ABDO BEJJANI MARKET,GROCERY,4,35.5871,33.8287,2
MOUNT LEBANON,BAABDA,KFARCHIMA,FARES EL SAYAH MARKET,GROCERY,5,35.5323,33.8166,2
MOUNT LEBANON,ALEY,SHAROUN,JANA MARKET,GROCERY,5,35.6933,33.7764,2
MOUNT LEBANON,DAHYEH,BOURJ EL BARAJNEH,NASSER HARIRI,GROCERY,6,35.4974,33.8378,2
MOUNT LEBANON,DAHYEH,HARET HREIK,MM WEHBI,GROCERY,5,35.5057,33.8571,2
MOUNT LEBANON,DAHYEH,TIRO,ABO SHAWKI,GROCERY,5,35.5056,33.8077,2
MOUNT LEBANON,METN,DEKWANEH,MAR ROUKOZ MARKET,GROCERY,5,35.5625,33.8691,2
MOUNT LEBANON,BAABDA,HADATH,DINA MARKET,Newelneh,5,35.5347,33.8487,2
MOUNT LEBANON,BAABDA,HADATH,DRINKS CORNER,GROCERY,4,35.5345,33.8468,2
MOUNT LEBANON,DAHYEH,KAFAT,KAFAAT MM,GROCERY,5,35.5202,33.8409,2
MOUNT LEBANON,METN,SIN EL FIL,AL KOROUM MARKET,Newelneh,5,35.5321,33.8803,2
BECAA,BAALBACK,HALANIYE,S.M AL NOOR,GROCERY,5,36.1875,33.9984,2
MOUNT LEBANON,BAABDA,AIN EL ROUMENEH,QUICK STOP,GROCERY,6,35.5215,33.8666,2
MOUNT LEBANON,BAABDA,AIN EL ROUMENEH,JANA MARKET,GROCERY,6,35.5202,33.8606,2
MOUNT LEBANON,BAABDA,FURN EL CHEBBAK,COIN BLANC,GROCERY,5,35.5204,33.8739,2
